transcript_id,CM_D18_R2,CM_D3_R2,CM_D0_R2,CM_D18_R1,CM_D3_R1,CM_D0_R1
ENST00000458555,21,2,0,17,0,0
ENST00000649529,205,285,228,597,501,383
ENST00000756455,0,0,0,0,0,0
ENST00000756421,0,0,0,0,0,0
ENST00000756420,0,0,0,0,0,0
ENST00000756438,0,0,0,0,0,0
ENST00000756422,0,0,0,0,0,0
ENST00000756417,0,0,0,0,0,0
ENST00000756439,0,0,0,0,0,0
ENST00000756423,0,0,0,0,0,0
ENST00000756424,0,0,0,0,0,0
ENST00000756425,0,0,0,0,0,0
ENST00000756413,0,0,0,0,0,0
ENST00000756454,0,0,0,8,0,0
ENST00000756456,0,0,0,0,0,0
ENST00000756451,0,0,0,0,0,0
ENST00000756440,0,0,0,0,0,0
ENST00000756441,0,0,0,0,0,0
ENST00000756442,0,0,0,0,0,0
ENST00000756443,0,0,0,0,0,0
ENST00000756426,0,0,0,0,0,0
ENST00000756427,0,0,0,0,0,0
ENST00000756428,0,0,0,0,0,0
ENST00000756429,0,0,0,0,0,0
ENST00000756415,0,0,0,0,0,0
ENST00000756416,0,0,0,0,0,0
ENST00000756418,0,0,0,0,0,0
ENST00000756444,0,0,0,0,0,0
ENST00000756445,0,25,0,0,0,0
ENST00000756431,0,0,0,0,0,0
ENST00000607769,0,0,0,0,0,0
ENST00000756433,0,0,0,0,0,0
ENST00000756432,0,0,0,0,0,0
ENST00000756434,0,0,0,0,0,0
ENST00000756419,0,0,0,0,0,0
ENST00000756435,0,0,0,0,0,0
ENST00000756437,0,0,0,2,0,0
ENST00000756447,0,0,0,0,0,0
ENST00000756446,0,0,0,0,0,0
ENST00000756841,0,0,0,3,0,0
ENST00000756448,0,5,0,0,0,0
ENST00000756449,0,0,0,0,0,0
ENST00000756450,0,0,0,0,0,0
ENST00000715287,0,0,0,0,0,0
ENST00000417705,0,0,0,0,0,0
ENST00000432961,0,0,0,0,0,0
ENST00000756700,0,7,0,0,0,0
ENST00000756704,0,0,0,0,0,0
ENST00000756701,0,25,0,0,0,0
ENST00000756703,0,0,0,0,0,0
ENST00000756702,0,0,0,0,0,0
ENST00000616016,0,417,0,0,0,0
ENST00000618323,0,245,0,0,0,0
ENST00000968544,0,0,0,0,0,0
ENST00000968542,0,0,0,0,0,0
ENST00000968543,0,0,0,16,0,0
ENST00000437963,0,0,0,0,0,0
ENST00000342066,0,0,0,0,0,0
ENST00000616125,0,0,0,0,0,0
ENST00000617307,0,0,0,0,0,0
ENST00000618181,0,0,0,0,0,0
ENST00000618779,0,0,0,0,0,0
ENST00000622503,0,0,0,0,0,0
ENST00000341065,0,55,0,0,0,0
ENST00000455979,0,5,0,0,1,0
ENST00000478729,0,6,0,0,0,0
ENST00000474461,0,3,0,0,0,0
MSTRG.43.17,0,28,0,0,71,0
ENST00000466827,0,24,0,0,4,0
ENST00000464948,0,39,0,0,4,0
ENST00000934933,0,0,0,8,0,0
ENST00000327044,0,492,777,0,655,266
ENST00000870727,0,394,0,0,0,0
ENST00000870728,0,0,0,1,0,0
ENST00000870730,0,0,0,0,0,285
ENST00000870737,0,0,0,0,0,0
ENST00000934934,0,0,0,1,0,0
ENST00000934935,0,0,540,0,0,254
ENST00000934936,0,0,0,0,0,0
ENST00000934938,0,0,0,0,0,0
ENST00000934939,0,0,0,1,0,0
ENST00000934940,0,0,0,0,0,0
ENST00000934953,0,0,0,1,0,0
ENST00000870731,0,404,0,0,0,0
ENST00000934932,0,0,0,0,0,0
ENST00000934942,0,0,0,0,0,0
ENST00000968805,0,0,0,0,0,0
ENST00000968806,0,0,0,431,0,2
ENST00000968807,0,0,0,0,0,0
ENST00000870733,0,0,0,0,0,0
ENST00000870734,0,0,0,0,0,0
ENST00000870736,0,0,0,0,0,0
ENST00000968808,0,0,0,0,0,0
ENST00000968809,0,0,0,0,0,0
ENST00000968815,0,0,0,0,0,0
ENST00000968817,0,0,0,0,0,0
ENST00000934950,0,0,0,0,0,0
ENST00000870732,0,0,0,0,0,0
ENST00000934944,0,0,0,0,0,0
ENST00000934951,0,0,0,0,0,0
ENST00000934952,0,0,0,0,0,0
ENST00000968811,0,0,0,0,0,0
ENST00000870738,0,0,0,0,0,0
ENST00000968820,0,0,0,0,0,0
ENST00000968821,0,0,0,0,0,0
ENST00000934943,0,0,0,0,0,0
ENST00000934956,0,0,0,0,0,0
ENST00000968810,0,0,0,0,0,0
ENST00000968822,0,0,0,0,0,0
ENST00000968823,0,0,0,0,0,0
ENST00000934954,0,0,0,3,0,2
ENST00000870735,0,0,0,0,0,0
ENST00000870739,0,0,359,0,0,195
ENST00000934946,0,0,0,0,0,0
ENST00000934947,0,0,0,0,0,0
ENST00000934948,0,0,0,0,0,175
ENST00000934955,0,0,0,0,0,0
ENST00000968814,0,0,0,0,0,0
ENST00000968818,0,0,0,0,0,0
ENST00000934949,0,0,11,0,3,6
ENST00000968813,0,0,0,0,0,0
ENST00000968819,0,0,0,0,0,0
ENST00000934945,0,0,0,0,0,0
ENST00000934958,0,0,316,0,0,28
ENST00000968812,0,0,0,0,0,0
ENST00000968824,0,0,0,0,0,0
ENST00000934959,0,0,0,0,0,0
ENST00000934957,0,0,0,0,0,0
ENST00000935109,0,0,0,0,0,0
ENST00000338591,0,0,0,0,0,0
ENST00000955598,0,0,5,61,0,0
ENST00000935110,0,0,0,0,4,19
ENST00000887517,0,17,3,0,14,5
MSTRG.45.10,0,23,101,0,154,18
ENST00000466300,0,0,0,0,0,0
MSTRG.45.12,0,0,2,0,0,1
ENST00000481067,0,2,1,1,1,1
ENST00000756452,21,0,0,12,14,13
ENST00000756414,3,2,0,6,0,0
