gene_id,CM_D0_R1,CM_D0_R2,CM_D18_R1,CM_D18_R2,CM_D3_R1,CM_D3_R2
MSTRG.231,1325,1100,1354,3130,1492,1442
MSTRG.248,2,0,0,25,4,7
MSTRG.249|TMEM201,1355,884,390,180,305,398
MSTRG.246|SLC25A33,1743,1472,392,486,564,479
MSTRG.246,2,2,0,0,3,210
MSTRG.247|ENSG00000231181,14,25,29,4,24,44
MSTRG.249,775,563,811,1264,450,570
ENSG00000251977.1|RNU6-991P,0,0,0,0,0,0
MSTRG.233|SLC45A1,107,167,19,59,0,28
MSTRG.234|Y_RNA,0,0,0,0,0,0
MSTRG.235|RERE,935,1758,1927,2013,1957,2324
MSTRG.235,6206,5109,2286,3832,1728,3137
MSTRG.236|RERE-AS1,0,0,42,0,3,7
MSTRG.237|ENSG00000221083,0,0,3,1,6,0
MSTRG.238|ENSG00000270282,0,2,14,3,0,0
MSTRG.244|RPL23AP19,0,0,2,0,0,0
MSTRG.221|ENO1,63817,85255,18062,59007,14477,50308
ENSG00000201725.1|RNU6-304P,0,0,0,0,0,2
MSTRG.232,29,4,132,2,56,18
MSTRG.239|RPL7P11,4,3,59,12,18,4
MSTRG.240|RPL7P7,3,2,55,9,3,6
MSTRG.241|Y_RNA,1,2,5,6,0,0
MSTRG.242|ENSG00000226545,1,0,26,5,3,1
MSTRG.243|ENSG00000228423,6,2,8,4,10,1
MSTRG.222|MIR6728,5,1,12,3,4,8
MSTRG.223|ENO1-AS1,6,10,15,4,6,16
ENSG00000238249.2|HMGN2P17,21,11,6,17,11,12
MSTRG.270|ENSG00000280113,2,0,2,0,0,5
MSTRG.263|PIK3CD,1259,1960,278,840,453,1419
MSTRG.264|PIK3CD-AS1,0,0,0,0,0,0
MSTRG.265|ENSG00000233268,0,0,0,0,0,0
MSTRG.269|MZT1P1,0,0,0,0,0,0
MSTRG.266|PIK3CD-AS2,112,202,31,140,60,127
MSTRG.266,18,34,0,0,7,9
MSTRG.267,6,18,3,0,14,2
MSTRG.263,7,6,86,23,304,17
MSTRG.268|CLSTN1,2793,2588,2603,4646,1451,2117
MSTRG.268,4536,6543,249,3634,1558,5046
MSTRG.251|ENSG00000223989,0,1,0,0,0,1
MSTRG.251,0,1,0,0,0,4
MSTRG.252,0,4,8,8,29,3
MSTRG.250|CTNNBIP1,3915,3951,2183,4113,2242,3138
MSTRG.253|ENSG00000285701,20,10,53,11,33,19
MSTRG.255|RBP7,38,122,0,8,0,20
MSTRG.261|TMEM274P,0,0,0,0,0,0
MSTRG.262|MIR5697,0,0,0,0,0,2
MSTRG.258|NMNAT1,204,362,349,737,169,165
MSTRG.258|ENSG00000241326,0,0,0,0,0,0
MSTRG.256|LZIC,1485,1760,1226,2529,886,1467
MSTRG.257|ENSG00000228150,10,7,18,28,27,22
MSTRG.259,8,5,14,1,10,34
MSTRG.260|RN7SKP269,10,5,19,2,5,8
MSTRG.254,1,1,2,24,0,3
MSTRG.271|UBE4B,7345,7869,3095,5094,2743,5822
MSTRG.274|RNU6-828P,0,1,3,0,1,5
MSTRG.284|KIF1B,2736,2067,1021,1417,670,460
MSTRG.288|ENSG00000284735,25,5,40,40,37,24
MSTRG.288,0,174,1,13,5,0
MSTRG.289|ENSG00000284642,8,16,26,7,29,30
MSTRG.290|PGD,14716,12674,3395,6676,3890,6125
MSTRG.292|CENPS,319,304,170,260,315,297
MSTRG.292|CENPS-CORT,44,36,0,1,11,32
MSTRG.293|ENSG00000203469,0,1,0,0,0,0
MSTRG.294|PEX14,900,1003,370,755,451,902
MSTRG.275|CASZ1,349,306,2046,2142,328,210
MSTRG.275,0,0,222,356,0,0
MSTRG.272|RPL21P21,7,0,2,0,8,7
MSTRG.273|PGAM1P11,1,5,18,6,5,16
MSTRG.284,7484,10697,4330,6464,4875,6697
MSTRG.285|ENSG00000264881,3,1,1,2,4,0
MSTRG.286,66,61,243,55,108,68
MSTRG.284|RNU6-37P,24,30,69,22,37,20
MSTRG.284|RN7SL731P,3,6,21,4,3,1
MSTRG.287,4,4,3,3,0,0
MSTRG.291|ENSG00000271989,8,0,7,5,14,14
MSTRG.292,27,46,141,115,6,110
MSTRG.292|CORT,7,9,12,13,10,30
MSTRG.288|DFFA,5249,7500,2207,3969,2166,6777
MSTRG.294,10,7,8,2,21,6
MSTRG.295|ENSG00000287727,13,9,55,13,23,18
MSTRG.296|RN7SL614P,2,1,15,4,2,0
MSTRG.276|ENSG00000272078,91,70,328,219,129,86
